tileid,minx,miny,maxx,maxy
3,5120,1024,5632,1536
3,5120,1536,5632,2048
3,5120,2048,5632,2560
3,5120,2560,5632,3072
4,0,2048,512,2560
4,512,2048,1024,2560
4,924,2048,1436,2560
4,512,4608,1024,5120
4,924,4608,1436,5120
5,4608,1024,5120,1536
5,5120,4096,5632,4608
8,5120,4096,5632,4608
10,1536,6144,2048,6656
14,0,3584,512,4096
14,1024,5120,1536,5632
14,1536,5120,2048,5632
14,2560,5632,3072,6144
15,2560,2560,3072,3072
15,3584,2560,4096,3072
15,512,3072,1024,3584
15,1024,3072,1536,3584
15,1536,3072,2048,3584
15,2048,3072,2560,3584
15,512,3584,1024,4096
15,1024,3584,1536,4096
15,1536,3584,2048,4096
15,3584,4608,4096,5120
15,4096,4608,4608,5120
15,2560,5120,3072,5632
15,3584,5120,4096,5632
15,4096,5120,4608,5632
15,4608,5120,5120,5632
15,3072,5632,3584,6144
15,4096,5632,4608,6144
15,3584,6144,4096,6656
15,4608,6144,5120,6656
16,512,1536,1024,2048
16,2560,5120,3072,5632
17,2560,4608,3072,5120
17,2048,5632,2560,6144
17,1024,6144,1536,6656
17,5120,6144,5632,6656
18,0,5632,512,6144
22,3072,4608,3584,5120
22,3584,4608,4096,5120
22,4096,4608,4608,5120
22,4608,4608,5120,5120
22,5120,4608,5632,5120
22,2560,5120,3072,5632
22,5120,5632,5632,6144
22,2560,6144,3072,6656
23,512,0,1024,512
23,4608,0,5120,512
23,512,512,1024,1024
23,1024,512,1536,1024
23,0,1024,512,1536
23,3072,1536,3584,2048
23,3584,2048,4096,2560
23,5120,4096,5632,4608
23,0,4608,512,5120
23,1024,4608,1536,5120
23,1536,4608,2048,5120
23,3584,5120,4096,5632
23,1536,5632,2048,6144
23,2048,5632,2560,6144
23,4096,5632,4608,6144
23,2048,6144,2560,6656
23,2560,6144,3072,6656
24,5120,0,5632,512
24,3072,512,3584,1024
24,3584,512,4096,1024
24,4096,512,4608,1024
24,4608,512,5120,1024
24,5120,512,5632,1024
24,2048,1024,2560,1536
24,2560,1024,3072,1536
24,3072,1024,3584,1536
24,3584,1024,4096,1536
24,2048,1536,2560,2048
24,2560,1536,3072,2048
24,3072,1536,3584,2048
24,3584,1536,4096,2048
24,4608,1536,5120,2048
24,1536,2048,2048,2560
24,2048,2048,2560,2560
24,2560,2048,3072,2560
24,3072,2048,3584,2560
24,3584,2048,4096,2560
24,4096,2048,4608,2560
24,4608,2048,5120,2560
24,5120,2560,5632,3072
24,1536,3072,2048,3584
24,3072,3072,3584,3584
24,3584,3072,4096,3584
24,4608,4096,5120,4608
24,4096,4608,4608,5120
24,4096,5632,4608,6144
24,4608,5632,5120,6144
24,0,6144,512,6656
24,512,6144,1024,6656
24,3584,6144,4096,6656
24,4096,6144,4608,6656
24,4608,6144,5120,6656
25,1024,0,1536,512
25,1536,0,2048,512
25,2048,0,2560,512
25,2560,0,3072,512
25,3072,0,3584,512
25,3584,0,4096,512
25,5120,0,5632,512
25,512,512,1024,1024
25,1024,512,1536,1024
25,1536,512,2048,1024
25,2048,512,2560,1024
25,4096,512,4608,1024
25,0,1024,512,1536
25,512,1024,1024,1536
25,1024,1024,1536,1536
25,1536,1024,2048,1536
25,512,1536,1024,2048
25,1024,1536,1536,2048
25,1536,1536,2048,2048
25,2048,1536,2560,2048
25,2560,1536,3072,2048
25,3072,1536,3584,2048
25,0,2048,512,2560
25,512,2048,1024,2560
25,2048,2048,2560,2560
25,2560,2048,3072,2560
25,0,3584,512,4096
25,1536,5120,2048,5632
25,1536,5632,2048,6144
28,1536,3584,2048,4096
28,2048,3584,2560,4096
28,3072,4096,3584,4608
28,3584,4096,4096,4608
28,4096,4096,4608,4608
28,3584,4608,4096,5120
28,4096,4608,4608,5120
28,4096,5120,4608,5632
30,2048,4608,2560,5120
30,2560,4608,3072,5120
30,3584,4608,4096,5120
30,4096,4608,4608,5120
30,5120,4608,5632,5120
30,2560,5120,3072,5632
30,3584,5120,4096,5632
30,4096,5120,4608,5632
30,4608,5120,5120,5632
30,5120,5120,5632,5632
30,2560,5632,3072,6144
30,3072,5632,3584,6144
30,3584,5632,4096,6144
30,2560,6144,3072,6656
31,2048,0,2560,512
31,2560,0,3072,512
31,2048,512,2560,1024
31,5120,2048,5632,2560
31,2560,3072,3072,3584
31,5120,3584,5632,4096
31,0,4096,512,4608
31,5120,4096,5632,4608
31,5120,4608,5632,5120
31,512,5120,1024,5632
31,4608,5120,5120,5632
31,5120,5120,5632,5632
31,512,5632,1024,6144
31,4608,5632,5120,6144
31,5120,5632,5632,6144
32,4096,0,4608,512
32,4608,0,5120,512
32,5120,1024,5632,1536
32,1024,1536,1536,2048
32,2048,1536,2560,2048
32,2560,1536,3072,2048
32,3072,1536,3584,2048
